Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2024-12-04;73,9003;74,2513;72,2749;72,5605;;
2024-12-03;72,0992;73,8928;72,0874;73,6502;;
2024-12-02;72,658;72,8795;71,535;71,8053;;
2024-11-29;72,8082;73,3323;72,0378;72,1241;;
2024-11-28;72,2982;72,9605;71,8561;72,7458;;
2024-11-27;72,4625;72,8289;71,7137;72,3422;;
2024-11-26;72,6303;73,7459;71,6533;72,1743;;
2024-11-25;74,1879;74,6118;72,3361;72,5999;;
2024-11-22;73,827;74,837;72,992;74,5182;;
2024-11-21;73,3782;74,3692;73,2733;74,3602;;
2024-11-20;73,4142;73,9162;72,71;73,1112;;
2024-11-19;73,3652;73,853;72,651;73,4023;;
2024-11-18;71,3249;73,455;70,844;73,3097;;
2024-11-15;71,6366;72,4799;70,8544;71,0789;;
2024-11-14;71,9253;73,2128;71,8148;72,4232;;
2024-11-13;72,1188;72,6242;70,7744;71,9479;;
2024-11-12;71,9308;72,8253;71,5844;71,7897;;
2024-11-11;74,0047;74,0955;71,6051;71,9747;;
2024-11-08;75,1834;75,3019;73,4527;73,9446;;
2024-11-07;75,1394;76,0557;74,0909;75,3596;;
2024-11-06;74,4685;75,9647;73,3609;75,1735;;
2024-11-05;75,1354;76,2341;74,9942;75,5743;;
2024-11-04;74,3986;75,3835;74,2432;75,2937;;
2024-11-01;74,1948;74,9381;72,8939;72,912;;
2024-10-31;72,5394;74,2749;71,8269;74,0261;;
2024-10-30;71,3783;72,7334;71,0799;72,6829;;
2024-10-29;70,9217;72,1002;70,2987;71,0402;;
2024-10-28;72,5176;72,6861;70,8548;71,6286;;
2024-10-25;74,6126;76,132;74,1786;75,9599;;
2024-10-24;75,8122;76,5355;74,0104;74,7694;;
2024-10-23;76,0025;76,0049;74,4552;75,2091;;
2024-10-22;74,0276;76,3113;73,5788;75,792;;
2024-10-21;73,3696;74,5614;73,2663;74,0541;;
2024-10-18;74,7928;74,953;72,5148;73,2896;;
2024-10-17;74,4041;74,669;73,2656;74,5043;;
2024-10-16;74,495;74,9083;73,4552;74,3554;;
2024-10-15;74,6281;74,7969;73,3452;74,6132;;
2024-10-14;78,21;78,21;76,9096;77,5758;;
2024-10-11;79,0605;79,4758;78,0444;79,0198;;
2024-10-10;77,1589;79,7079;76,7851;79,4341;;
2024-10-09;77,9331;77,9969;75,1909;76,7806;;
2024-10-08;79,6803;79,8572;76,3967;77,5481;;
2024-10-07;77,8716;81,1587;77,6953;81,0756;;
2024-10-04;77,4682;79,2746;77,3947;78,1141;;
2024-10-03;74,743;77,9813;74,3376;77,7051;;
2024-10-02;74,8646;76,114;73,6282;74,6837;;
2024-10-01;71,7835;75,4159;69,9295;74,0039;;
2024-09-30;72,5552;72,7442;71,0349;71,7796;;
2024-09-27;70,7975;71,9441;70,4702;71,9101;;
2024-09-26;71,3331;71,9459;70,3071;70,7446;;
2024-09-25;74,7374;75,2452;73,0864;73,5442;;
2024-09-24;74,8029;75,8649;74,6183;75,1388;;
2024-09-23;75,1115;75,1542;73,1153;74,0492;;
2024-09-20;74,7074;74,9834;74,0122;74,714;;
2024-09-19;73,9506;75,1694;73,8382;74,7847;;
2024-09-18;73,2796;74,0451;72,3108;72,8093;;
2024-09-17;73,2241;74,2626;72,1735;73,8371;;
2024-09-16;71,7228;73,3744;71,6547;72,9399;;
2024-09-13;72,4687;73,2182;71,4874;72,0321;;
2024-09-12;71,4545;72,8635;71,0603;72,2459;;
2024-09-11;69,9297;71,0681;69,0272;70,4004;;
2024-09-10;71,746;71,8499;68,694;69,5895;;
2024-09-09;71,6265;72,2068;70,6583;71,6947;;
2024-09-06;72,8944;73,5201;70,6539;71,5239;;
2024-09-05;73,062;74,1673;72,3782;72,6682;;
2024-09-04;73,5456;74,8051;72,3532;72,3956;;
2024-09-03;77,417;77,5438;73,5292;73,762;;
2024-09-02;76,4901;77,6179;76,2798;77,436;;
2024-08-30;79,218;79,5038;76,7111;76,9649;;
2024-08-29;77,875;79,5467;77,0152;78,9392;;
2024-08-28;78,8021;78,9176;77,1548;77,745;;
2024-08-27;80,3192;80,4544;78,5644;78,806;;
2024-08-26;78,7182;80,5238;78,5874;80,1096;;
2024-08-23;76,5722;78,3531;76,5041;78,1542;;
2024-08-22;75,481;77,0052;75,2697;76,4191;;
2024-08-21;76,4727;77,4937;75,104;75,5414;;
2024-08-20;76,9844;78,3151;76,5537;77,4434;;
2024-08-19;79,4252;79,7244;77,5049;77,7537;;
2024-08-16;80,8524;80,9874;78,6288;79,7998;;
2024-08-15;79,9555;81,4236;79,8455;80,8916;;
2024-08-14;81,2632;81,4258;79,6149;79,9013;;
2024-08-13;81,7748;82,2945;80,5589;80,8105;;
2024-08-12;79,9918;82,3812;79,8639;81,9173;;
2024-08-09;79,1908;79,8151;78,7786;79,7326;;
2024-08-08;78,3104;79,3702;77,644;79,0608;;
2024-08-07;76,8385;78,8607;76,3053;78,4424;;
2024-08-06;77,0576;77,1768;75,6095;76,3127;;
2024-08-05;76,0163;77,1382;75,0601;77,1124;;
2024-08-02;80,2098;80,4477;76,4332;77,238;;
2024-08-01;81,6469;81,775;79,4765;80,1573;;
2024-07-31;79,4356;81,4681;79,2508;81,3547;;
2024-07-30;78,7631;79,2037;77,9645;78,4045;;
2024-07-29;80,8831;80,8831;78,6646;79,0345;;
2024-07-26;82,5167;82,6197;80,3317;80,8037;;
